#,Date,Entry,Exit,Side,Setup,Entry Price,SL,Target,Exit Price,Exit Reason,Result,Points,R,MFE,MAE,MFE R,MAE R,Planned RR,Target Source,Why Trade
1,45658,0.58680555555555558,0.62152777777777779,CE,SMART_ZONE_BREAK_CONFIRMATION,23812.3,23744,24000,23744,SL_HIT,LOSS,-68.3,-1,8.6,77.55,0.126,1.135,2.75,classic_liquidity,Smart zone order_block_bearish+bearish_breaker+breakdown_base+swing_high+equal_highs_liquidity 23740.09-23778.85 | Target: ROUND_NUMBER
2,45659,0.40625,0.44097222222222221,CE,SMART_ZONE_BREAK_CONFIRMATION,23826.7,23768.53,24000,23855.78,PROFIT_LOCK_HIT,WIN,29.08,0.5,71.849999999999994,34.9,1.2350000000000001,0.6,2.98,classic_liquidity,Smart zone order_block_bearish+equal_highs_liquidity+breakdown_base+bearish_breaker+swing_high 23767.04-23797.83 | Target: ROUND_NUMBER
3,45660,0.54513888888888884,0.58333333333333337,CE,SMART_ZONE_SUPPORT_REACTION_CONFIRMATION,24110.2,24028.33,24300,24028.33,SL_HIT,LOSS,-81.87,-1,11.4,82.85,0.13900000000000001,1.012,2.3199999999999998,classic_liquidity,Smart zone order_block_bullish+swing_low+breakout_base 24036.25-24078.82 | Target: ROUND_NUMBER
4,45663,0.45833333333333331,0.48958333333333331,PE,SMART_ZONE_BREAK_CONFIRMATION,23831.5,23891.08,23700,23700,TARGET_HIT,WIN,131.5,2.2069999999999999,198.3,5.9,3.3279999999999998,9.9000000000000005E-2,2.21,classic_liquidity,Smart zone order_block_bullish+swing_low+bullish_breaker+breakout_base 23855.6-23886.93 | Target: ROUND_NUMBER
5,45663,0.52083333333333337,0.52430555555555558,PE,SMART_ZONE_BREAK_CONFIRMATION,23679.05,23748.28,23500,23748.28,SL_HIT,LOSS,-69.23,-1,0,74.400000000000006,0,1.075,2.59,classic_liquidity,Smart zone swing_low 23716.8-23745.96 | Target: ROUND_NUMBER
6,45664,0.58333333333333337,0.625,PE,SMART_ZONE_BREAK_CONFIRMATION,23689.15,23735.03,23600,23735.03,SL_HIT,LOSS,-45.88,-1,4.8,47.85,0.105,1.0429999999999999,1.94,classic_liquidity,Smart zone order_block_bullish+equal_lows_liquidity+swing_low+breakout_base+bullish_breaker 23705.8-23737.93 | Target: ROUND_NUMBER
7,45665,0.44444444444444442,0.47569444444444442,PE,SMART_ZONE_BREAK_CONFIRMATION,23594.95,23639.39,23500,23572.73,PROFIT_LOCK_HIT,WIN,22.22,0.5,59.6,2.5499999999999998,1.341,5.7000000000000002E-2,2.14,classic_liquidity,Smart zone breakout_base+swing_low+order_block_bullish+equal_lows_liquidity+bullish_breaker 23601.5-23639.05 | Target: ROUND_NUMBER
8,45665,0.52430555555555558,0.55902777777777779,PE,SMART_ZONE_BREAK_CONFIRMATION,23510.15,23583.7,23300,23583.7,SL_HIT,LOSS,-73.55,-1,14,73.849999999999994,0.19,1.004,2.86,classic_liquidity,Smart zone swing_low+bullish_breaker 23538.7-23588.25 | Target: ROUND_NUMBER
9,45665,0.57986111111111116,0.63541666666666663,CE,SMART_ZONE_BREAK_CONFIRMATION,23671.35,23591.65,23795.200000000001,23688.75,TIME_EXIT,WIN,17.399999999999999,0.218,56.15,32.700000000000003,0.70499999999999996,0.41,1.55,classic_liquidity,Smart zone breakdown_base+bearish_breaker+order_block_bearish+swing_high+equal_highs_liquidity 23591.25-23620.1 | Target: PDH
10,45666,0.4548611111111111,0.63541666666666663,PE,SMART_ZONE_BREAK_CONFIRMATION,23552.400000000001,23619.71,23400,23526.1,TIME_EXIT,WIN,26.3,0.39100000000000001,49.35,64.3,0.73299999999999998,0.95499999999999996,2.2599999999999998,classic_liquidity,Smart zone breakout_base+equal_lows_liquidity+swing_low+order_block_bullish 23593.95-23619.58 | Target: ROUND_NUMBER
11,45670,0.4826388888888889,0.51388888888888884,PE,SMART_ZONE_BREAK_CONFIRMATION,23240.2,23288.86,23100,23215.87,PROFIT_LOCK_HIT,WIN,24.33,0.5,49.75,22.8,1.022,0.46899999999999997,2.88,classic_liquidity,Smart zone order_block_bullish+swing_low+bullish_breaker+breakout_base 23246.02-23289.92 | Target: ROUND_NUMBER
